"Player","Team","FG","FGA","XPT","FPTS"
"Brandon Aubrey","DAL","33.7","38.0","41.0","142.2"
"Matt Gay","WAS","29.9","35.4","47.1","136.9"
"Tyler Bass","BUF","28.6","34.8","50.9","136.5"
"Chase McLaughlin","TB","30.1","33.4","45.8","136.2"
"Jason Sanders","MIA","31.6","35.5","40.2","134.9"
"Jake Elliott","PHI","29.5","34.9","46.1","134.5"
"Jake Bates","DET","27.8","31.3","49.8","133.1"
"Harrison Butker","KC","30.0","34.9","42.1","132.2"
"Cameron Dicker","LAC","31.3","34.0","38.0","131.8"
"Evan McPherson","CIN","28.1","34.4","47.2","131.6"
"Brandon McManus","GB","29.0","34.0","44.2","131.3"
"Tyler Loop","BAL","27.5","32.8","47.4","130.0"
"Ka'imi Fairbairn","HOU","31.0","35.1","36.4","129.4"
"Younghoe Koo","ATL","28.5","35.0","42.0","127.6"
"Will Reichard","MIN","29.0","35.1","40.4","127.5"
"Chad Ryland","ARI","29.1","34.5","38.9","126.2"
"Joshua Karty","LAR","29.0","34.5","38.5","125.6"
"Wil Lutz","DEN","28.1","32.5","39.4","123.6"
"Jake Moody","SF","27.6","35.5","39.7","122.5"
"Chris Boswell","PIT","29.4","33.2","34.0","122.1"
"Daniel Carlson","LV","29.4","33.7","32.6","120.7"
"Cam Little","JAC","28.0","31.1","36.2","120.3"
"Spencer Shrader","IND","28.2","33.1","35.4","120.0"
"Jason Myers","SEA","27.5","31.1","34.1","116.7"
"Cairo Santos","CHI","26.5","31.0","36.8","116.3"
"Blake Grupe","NO","27.8","32.2","30.3","113.6"
"Joey Slye","TEN","26.3","32.1","31.7","110.5"
"Matthew Wright","CAR","25.2","29.1","34.7","110.3"
"Caden Davis","NYJ","24.0","29.0","33.0","105.0"
"Graham Gano","NYG","24.5","29.2","30.4","103.9"
"Dustin Hopkins","CLE","23.8","29.8","24.5","95.9"
"Jude McAtamney","NYG","0.0","0.0","0.0","0.0"
"Parker Romo","NE","0.0","0.0","0.0","0.0"
"Greg Joseph","SF","0.0","0.0","0.0","0.0"
""
""